Ignorada,Segunda,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
Ignorada,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araucanía,Primera,0.0,2179.0,2589.0,7338.0,7779.0,8543.0,9131.0,9572.0,9917.0,10768.0,11149.0,11213.0,11531.0,11950.0,11937.0,11512.0,11122.0,10621.0,10976.0,10621.0,10612.0,11135.0,11311.0,10412.0
Araucanía,Segunda,0.0,1741.0,2046.0,2501.0,2682.0,3201.0,3770.0,4155.0,4476.0,4894.0,5273.0,5310.0,5583.0,7230.0,7536.0,7581.0,7560.0,7339.0,8011.0,7934.0,8093.0,8557.0,8653.0,8087.0
Araucanía,Unica,0.0,64.0,85.0,342.0,421.0,790.0,904.0,734.0,655.0,401.0,377.0,374.0,324.0,298.0,328.0,302.0,264.0,245.0,227.0,233.0,245.0,249.0,265.0,221.0
O’Higgins,Primera,0.0,2198.0,2452.0,8475.0,9258.0,9919.0,9718.0,10241.0,10528.0,11561.0,11689.0,11936.0,12289.0,13055.0,13409.0,13165.0,12868.0,12376.0,12035.0,11589.0,11303.0,12111.0,12468.0,12082.0
O’Higgins,Segunda,0.0,1875.0,2062.0,2341.0,2565.0,3039.0,3772.0,4015.0,4318.0,4747.0,4920.0,5050.0,5330.0,7912.0,8872.0,8966.0,9138.0,8757.0,9033.0,8886.0,8853.0,9669.0,10058.0,9876.0
O’Higgins,Unica,0.0,6.0,8.0,16.0,16.0,185.0,1142.0,692.0,573.0,344.0,253.0,242.0,252.0,237.0,179.0,173.0,189.0,160.0,131.0,121.0,128.0,109.0,108.0,109.0
Los Lagos,Primera,0.0,2111.0,2524.0,6235.0,6433.0,7832.0,8598.0,8937.0,9083.0,9852.0,9958.0,10372.0,10870.0,11379.0,11393.0,11015.0,10752.0,10425.0,10079.0,10088.0,10080.0,10515.0,10506.0,10334.0
Los Lagos,Segunda,0.0,1699.0,1880.0,2201.0,2409.0,2816.0,3292.0,3643.0,3903.0,4274.0,4506.0,4795.0,5121.0,6617.0,6944.0,7271.0,7138.0,6972.0,7039.0,7323.0,7467.0,7743.0,7763.0,7739.0
Los Lagos,Unica,0.0,108.0,144.0,1151.0,1024.0,596.0,543.0,491.0,443.0,314.0,322.0,349.0,330.0,302.0,319.0,243.0,245.0,238.0,236.0,222.0,220.0,229.0,215.0,213.0
Los Ríos,Primera,0.0,1498.0,1670.0,3093.0,3404.0,3592.0,3756.0,4059.0,4143.0,4459.0,4426.0,4705.0,4709.0,4781.0,4981.0,4725.0,4485.0,4437.0,4380.0,4277.0,4263.0,4483.0,4454.0,4244.0
Los Ríos,Segunda,0.0,1173.0,1302.0,1416.0,1527.0,1689.0,1916.0,2084.0,2226.0,2343.0,2378.0,2506.0,2643.0,2979.0,3238.0,3209.0,3118.0,3059.0,3169.0,3171.0,3195.0,3407.0,3437.0,3364.0
Los Ríos,Unica,0.0,13.0,14.0,56.0,89.0,130.0,365.0,281.0,192.0,141.0,133.0,101.0,105.0,101.0,120.0,115.0,103.0,92.0,86.0,92.0,73.0,78.0,61.0,53.0
Magallanes,Primera,0.0,998.0,1245.0,1110.0,1038.0,1342.0,1609.0,1833.0,1865.0,2177.0,2248.0,2267.0,2446.0,2567.0,2518.0,2616.0,2560.0,2365.0,2381.0,2466.0,2372.0,2476.0,2485.0,2314.0
Magallanes,Segunda,0.0,890.0,1157.0,989.0,920.0,1199.0,1132.0,1318.0,1318.0,1408.0,1517.0,1540.0,1679.0,2023.0,2028.0,2096.0,2111.0,1992.0,2054.0,2114.0,2057.0,2161.0,2208.0,2052.0
Magallanes,Unica,0.0,350.0,327.0,704.0,655.0,670.0,457.0,386.0,309.0,196.0,199.0,202.0,164.0,189.0,176.0,171.0,166.0,145.0,153.0,150.0,125.0,129.0,133.0,96.0
Maule,Primera,0.0,3339.0,3831.0,9834.0,10104.0,10968.0,10056.0,10287.0,11487.0,12774.0,12854.0,13101.0,13611.0,14269.0,14706.0,14205.0,13710.0,13126.0,12872.0,12245.0,12313.0,13148.0,13677.0,12837.0
Maule,Segunda,0.0,1768.0,2207.0,2364.0,2661.0,3194.0,3577.0,4164.0,4497.0,4988.0,5153.0,5361.0,5912.0,8408.0,9370.0,9436.0,9443.0,9095.0,9392.0,9164.0,9426.0,10168.0,10625.0,10024.0
Maule,Unica,0.0,37.0,45.0,44.0,53.0,126.0,1984.0,1938.0,923.0,487.0,381.0,352.0,355.0,294.0,282.0,277.0,258.0,286.0,214.0,213.0,191.0,157.0,204.0,198.0
Metropolitana,Primera,0.0,16138.0,20181.0,69026.0,72105.0,74275.0,71542.0,81003.0,85334.0,96786.0,98491.0,101138.0,104113.0,108957.0,110883.0,108932.0,103916.0,99936.0,96957.0,94384.0,91995.0,94941.0,97078.0,91224.0
Metropolitana,Segunda,0.0,12054.0,15075.0,18376.0,20967.0,24288.0,27650.0,30644.0,34135.0,37143.0,38456.0,40451.0,43276.0,64951.0,71055.0,74341.0,73301.0,70962.0,73068.0,73203.0,72508.0,75865.0,78047.0,74866.0
Metropolitana,Unica,0.0,335.0,366.0,472.0,730.0,4843.0,14254.0,8473.0,7652.0,4204.0,3905.0,3658.0,3703.0,3304.0,2952.0,2836.0,2653.0,2461.0,2263.0,2045.0,1974.0,1880.0,1940.0,1735.0
Tarapacá,Primera,0.0,1788.0,2164.0,3058.0,3191.0,3541.0,3848.0,3924.0,4111.0,4248.0,4366.0,4551.0,4625.0,4948.0,4886.0,4912.0,4858.0,4608.0,4415.0,4432.0,4410.0,4582.0,4692.0,4462.0
Tarapacá,Segunda,0.0,1258.0,1523.0,1538.0,1657.0,1840.0,1946.0,2131.0,2300.0,2335.0,2386.0,2496.0,2638.0,3177.0,3199.0,3259.0,3286.0,3112.0,3126.0,3254.0,3267.0,3464.0,3579.0,3466.0
Tarapacá,Unica,0.0,11.0,11.0,15.0,12.0,15.0,12.0,15.0,18.0,10.0,14.0,25.0,10.0,21.0,21.0,12.0,18.0,12.0,8.0,8.0,6.0,16.0,10.0,17.0
Valparaíso,Primera,0.0,4606.0,5852.0,17611.0,18328.0,18558.0,17940.0,19371.0,19932.0,21993.0,22223.0,22805.0,23178.0,24581.0,24648.0,24323.0,23134.0,22649.0,21818.0,21377.0,21589.0,22747.0,22997.0,21745.0
Valparaíso,Segunda,0.0,3566.0,4496.0,5362.0,5921.0,6736.0,7422.0,8257.0,8720.0,9545.0,9724.0,10221.0,10872.0,15488.0,16685.0,17063.0,16369.0,16347.0,16524.0,16613.0,17187.0,18271.0,18615.0,17866.0
Valparaíso,Unica,0.0,90.0,117.0,162.0,226.0,1450.0,3252.0,2191.0,2002.0,1142.0,1023.0,900.0,892.0,842.0,797.0,775.0,651.0,669.0,590.0,497.0,485.0,480.0,509.0,424.0
Ñuble,Primera,0.0,2496.0,2752.0,4467.0,4636.0,4941.0,5135.0,5381.0,5166.0,5559.0,5535.0,5826.0,5948.0,5978.0,6101.0,5973.0,5899.0,5864.0,5705.0,5519.0,5432.0,5871.0,5999.0,5901.0
Ñuble,Segunda,0.0,1922.0,2113.0,2031.0,2172.0,2377.0,2403.0,2647.0,2590.0,2694.0,2766.0,2958.0,3027.0,3635.0,3922.0,4022.0,4028.0,4061.0,4173.0,4098.0,4112.0,4507.0,4649.0,4622.0
Ñuble,Unica,0.0,19.0,25.0,169.0,207.0,294.0,215.0,155.0,153.0,117.0,108.0,106.0,90.0,115.0,104.0,87.0,84.0,84.0,82.0,94.0,73.0,58.0,75.0,66.0
